Timestamp(ms),Source,Destination, Length(Mb)
0,Abuja,Al-Iskandariyah-(Alexandria),1.0114859171416688
0,Abuja,Al-Qahirah-(Cairo),1.1426009003265756
0,Abuja,Ankara,0.40876061746790937
0,Abuja,Irbil-(Erbil),0.8338416165123805
0,Abuja,Haerbin,1.1167419078784893
0,Abuja,Lagos,0.8457120092730139
0,Abuja,Tomsk,1.278580571762431
0,Abuja,Tehran,0.31516140201018894
0,Abuja,Sendai,1.061686823606064
0,Al-Iskandariyah-(Alexandria),Abuja,0.6825927691238272
0,Al-Iskandariyah-(Alexandria),Al-Qahirah-(Cairo),0.16660432425585264
0,Al-Iskandariyah-(Alexandria),Ankara,0.6605775139141277
0,Al-Iskandariyah-(Alexandria),Irbil-(Erbil),0.17195694363254935
0,Al-Iskandariyah-(Alexandria),Haerbin,0.280969654259311
0,Al-Iskandariyah-(Alexandria),Lagos,1.2495497533951054
0,Al-Iskandariyah-(Alexandria),Tomsk,0.4833229959474464
0,Al-Iskandariyah-(Alexandria),Tehran,0.6331518632162276
0,Al-Iskandariyah-(Alexandria),Sendai,0.4669930150712127
0,Al-Qahirah-(Cairo),Abuja,1.0467916622792603
0,Al-Qahirah-(Cairo),Al-Iskandariyah-(Alexandria),0.16265295022760298
0,Al-Qahirah-(Cairo),Ankara,0.9990625742056549
0,Al-Qahirah-(Cairo),Irbil-(Erbil),0.30425439350810307
0,Al-Qahirah-(Cairo),Haerbin,1.2179679540521724
0,Al-Qahirah-(Cairo),Lagos,0.8422229211125313
0,Al-Qahirah-(Cairo),Tomsk,1.130655336726509
0,Al-Qahirah-(Cairo),Tehran,0.42523176175322935
0,Al-Qahirah-(Cairo),Sendai,1.27800007350741
0,Ankara,Abuja,0.7042508191799725
0,Ankara,Al-Iskandariyah-(Alexandria),0.970884239294506
0,Ankara,Al-Qahirah-(Cairo),0.4335641870249434
0,Ankara,Irbil-(Erbil),0.7502822935569695
0,Ankara,Haerbin,0.5015695885795554
0,Ankara,Lagos,0.0965192845315812
0,Ankara,Tomsk,0.04889509859855382
0,Ankara,Tehran,0.261622736626403
0,Ankara,Sendai,0.1268110628210312
0,Irbil-(Erbil),Abuja,0.1775585193641125
0,Irbil-(Erbil),Al-Iskandariyah-(Alexandria),1.212337347801747
0,Irbil-(Erbil),Al-Qahirah-(Cairo),1.2066275295069688
0,Irbil-(Erbil),Ankara,0.7085440505592857
0,Irbil-(Erbil),Haerbin,0.2849730641610836
0,Irbil-(Erbil),Lagos,1.1605596992690552
0,Irbil-(Erbil),Tomsk,1.3123092677960306
0,Irbil-(Erbil),Tehran,1.2904768851008426
0,Irbil-(Erbil),Sendai,0.9636887623956707
0,Haerbin,Abuja,0.11385500632972212
0,Haerbin,Al-Iskandariyah-(Alexandria),1.3228177116997335
0,Haerbin,Al-Qahirah-(Cairo),0.7242811602312045
0,Haerbin,Ankara,0.5168209749527782
0,Haerbin,Irbil-(Erbil),1.1496935909746235
0,Haerbin,Lagos,0.9210303888725442
0,Haerbin,Tomsk,0.6395338350917613
0,Haerbin,Tehran,0.11750203589387882
0,Haerbin,Sendai,0.9029078563091533
0,Lagos,Abuja,0.7781120171586857
0,Lagos,Al-Iskandariyah-(Alexandria),0.08485498182641171
0,Lagos,Al-Qahirah-(Cairo),1.176526096037997
0,Lagos,Ankara,0.8079352032872305
0,Lagos,Irbil-(Erbil),0.6298554363320987
0,Lagos,Haerbin,0.3554601879471462
0,Lagos,Tomsk,0.2521051381068052
0,Lagos,Tehran,0.019226055667596942
0,Lagos,Sendai,0.7199113637074547
0,Tomsk,Abuja,1.061117780799824
0,Tomsk,Al-Iskandariyah-(Alexandria),0.9591749778836596
0,Tomsk,Al-Qahirah-(Cairo),0.3908305180559646
0,Tomsk,Ankara,0.6024316398659139
0,Tomsk,Irbil-(Erbil),0.9688313313688337
0,Tomsk,Haerbin,1.2180767180925471
0,Tomsk,Lagos,0.6615663514634358
0,Tomsk,Tehran,0.08418481375692306
0,Tomsk,Sendai,0.019756321626044866
0,Tehran,Abuja,0.10199484754926964
0,Tehran,Al-Iskandariyah-(Alexandria),0.7651726392104028
0,Tehran,Al-Qahirah-(Cairo),0.3094120664766516
0,Tehran,Ankara,0.5654697617826231
0,Tehran,Irbil-(Erbil),0.6876931100551515
0,Tehran,Haerbin,0.20392632625472507
0,Tehran,Lagos,0.3052795819231503
0,Tehran,Tomsk,1.0401051720761951
0,Tehran,Sendai,0.4384358880481936
0,Sendai,Abuja,1.221755344292016
0,Sendai,Al-Iskandariyah-(Alexandria),0.814751877434794
0,Sendai,Al-Qahirah-(Cairo),0.5221914229663134
0,Sendai,Ankara,0.17373567528643807
0,Sendai,Irbil-(Erbil),0.8782901087047429
0,Sendai,Haerbin,0.19444113525067852
0,Sendai,Lagos,0.41767345518552146
0,Sendai,Tomsk,0.6631766617305968
0,Sendai,Tehran,0.7772992210736632
2000,Abuja,Al-Iskandariyah-(Alexandria),0.15584268288739134
2000,Abuja,Al-Qahirah-(Cairo),1.288613389997826
2000,Abuja,Ankara,1.066129063427498
2000,Abuja,Irbil-(Erbil),0.0996611013288975
2000,Abuja,Haerbin,0.2921138813089863
2000,Abuja,Lagos,0.9990111872401315
2000,Abuja,Tomsk,0.05905707940124172
2000,Abuja,Tehran,0.6431267846385782
2000,Abuja,Sendai,0.2765510346615675
2000,Al-Iskandariyah-(Alexandria),Abuja,1.158218592039696
2000,Al-Iskandariyah-(Alexandria),Al-Qahirah-(Cairo),0.6182964711198602
2000,Al-Iskandariyah-(Alexandria),Ankara,0.8276957203261085
2000,Al-Iskandariyah-(Alexandria),Irbil-(Erbil),1.0264793349791037
2000,Al-Iskandariyah-(Alexandria),Haerbin,0.5771274408727287
2000,Al-Iskandariyah-(Alexandria),Lagos,0.8785846029574298
2000,Al-Iskandariyah-(Alexandria),Tomsk,0.2679493862934468
2000,Al-Iskandariyah-(Alexandria),Tehran,1.1005689185108642
2000,Al-Iskandariyah-(Alexandria),Sendai,0.22902986246002294
2000,Al-Qahirah-(Cairo),Abuja,0.785059400260143
2000,Al-Qahirah-(Cairo),Al-Iskandariyah-(Alexandria),0.06281665683435733
2000,Al-Qahirah-(Cairo),Ankara,0.6888065089170629
2000,Al-Qahirah-(Cairo),Irbil-(Erbil),0.6029951345406577
2000,Al-Qahirah-(Cairo),Haerbin,0.9010248771193885
2000,Al-Qahirah-(Cairo),Lagos,0.8559838094939998
2000,Al-Qahirah-(Cairo),Tomsk,0.6730792102188528
2000,Al-Qahirah-(Cairo),Tehran,1.2069099464462276
2000,Al-Qahirah-(Cairo),Sendai,0.05967352436607583
2000,Ankara,Abuja,1.3097259205565404
2000,Ankara,Al-Iskandariyah-(Alexandria),0.7005441447235446
2000,Ankara,Al-Qahirah-(Cairo),0.01230953606020524
2000,Ankara,Irbil-(Erbil),1.291058897518233
2000,Ankara,Haerbin,0.8770939803922886
2000,Ankara,Lagos,0.3066293374288295
2000,Ankara,Tomsk,1.1650455505118527
2000,Ankara,Tehran,0.3341220892653117
2000,Ankara,Sendai,0.575389924808476
2000,Irbil-(Erbil),Abuja,0.4520329889090907
2000,Irbil-(Erbil),Al-Iskandariyah-(Alexandria),1.3272757846665564
2000,Irbil-(Erbil),Al-Qahirah-(Cairo),0.5440229225203518
2000,Irbil-(Erbil),Ankara,0.3011916047576869
2000,Irbil-(Erbil),Haerbin,1.1295451837928627
2000,Irbil-(Erbil),Lagos,0.8228781797962991
2000,Irbil-(Erbil),Tomsk,0.716813796132951
2000,Irbil-(Erbil),Tehran,0.04876562707080915
2000,Irbil-(Erbil),Sendai,0.18647643367891678
2000,Haerbin,Abuja,0.8217023338373928
2000,Haerbin,Al-Iskandariyah-(Alexandria),1.0415758413646576
2000,Haerbin,Al-Qahirah-(Cairo),0.22938908919130424
2000,Haerbin,Ankara,1.1818741030177125
2000,Haerbin,Irbil-(Erbil),0.08279785808248841
2000,Haerbin,Lagos,0.41911917746979777
2000,Haerbin,Tomsk,0.822036865194821
2000,Haerbin,Tehran,1.082346091088218
2000,Haerbin,Sendai,0.5527139674364354
2000,Lagos,Abuja,0.7275725345166995
2000,Lagos,Al-Iskandariyah-(Alexandria),1.2513113997822831
2000,Lagos,Al-Qahirah-(Cairo),0.05328889849449695
2000,Lagos,Ankara,0.8947199672448477
2000,Lagos,Irbil-(Erbil),0.5872820825223226
2000,Lagos,Haerbin,0.5521576390164555
2000,Lagos,Tomsk,0.015519839215631936
2000,Lagos,Tehran,0.5968810053714317
2000,Lagos,Sendai,0.4142062965273726
2000,Tomsk,Abuja,1.2435428697389301
2000,Tomsk,Al-Iskandariyah-(Alexandria),0.7150231328026406
2000,Tomsk,Al-Qahirah-(Cairo),0.2597384171885221
2000,Tomsk,Ankara,0.8078983208085946
2000,Tomsk,Irbil-(Erbil),1.1405857173404927
2000,Tomsk,Haerbin,0.39622755356861694
2000,Tomsk,Lagos,0.9112239412982668
2000,Tomsk,Tehran,0.9021789007944707
2000,Tomsk,Sendai,0.9694169754860376
2000,Tehran,Abuja,1.162296139470987
2000,Tehran,Al-Iskandariyah-(Alexandria),0.989879670569017
2000,Tehran,Al-Qahirah-(Cairo),0.2642566396100259
2000,Tehran,Ankara,1.0259569096710799
2000,Tehran,Irbil-(Erbil),0.9815625687621732
2000,Tehran,Haerbin,0.40922993742240943
2000,Tehran,Lagos,0.590160077300483
2000,Tehran,Tomsk,0.5363746371743436
2000,Tehran,Sendai,0.05477613529497723
2000,Sendai,Abuja,0.432401239352102
2000,Sendai,Al-Iskandariyah-(Alexandria),0.7858320387177319
2000,Sendai,Al-Qahirah-(Cairo),0.011271035345288283
2000,Sendai,Ankara,0.718755003635795
2000,Sendai,Irbil-(Erbil),1.1832165810054152
2000,Sendai,Haerbin,1.180049267929522
2000,Sendai,Lagos,1.017285317679268
2000,Sendai,Tomsk,0.1982490739838553
2000,Sendai,Tehran,0.3895369708155765
4000,Abuja,Al-Iskandariyah-(Alexandria),1.166015641742256
4000,Abuja,Al-Qahirah-(Cairo),0.2964462049681158
4000,Abuja,Ankara,0.31748966226950676
4000,Abuja,Irbil-(Erbil),1.2063932346777826
4000,Abuja,Haerbin,0.5948278853341991
4000,Abuja,Lagos,1.0265776035250473
4000,Abuja,Tomsk,1.2409593060883
4000,Abuja,Tehran,0.18869530460341455
4000,Abuja,Sendai,0.9735611350906814
4000,Al-Iskandariyah-(Alexandria),Abuja,0.03437542325425517
4000,Al-Iskandariyah-(Alexandria),Al-Qahirah-(Cairo),0.9684433183546213
4000,Al-Iskandariyah-(Alexandria),Ankara,0.6159812382022004
4000,Al-Iskandariyah-(Alexandria),Irbil-(Erbil),0.2554343757865102
4000,Al-Iskandariyah-(Alexandria),Haerbin,1.1921125096443992
4000,Al-Iskandariyah-(Alexandria),Lagos,0.7545970334250713
4000,Al-Iskandariyah-(Alexandria),Tomsk,0.7063427114126271
4000,Al-Iskandariyah-(Alexandria),Tehran,0.7995771273568121
4000,Al-Iskandariyah-(Alexandria),Sendai,1.0098536400584506
4000,Al-Qahirah-(Cairo),Abuja,1.144726339503075
4000,Al-Qahirah-(Cairo),Al-Iskandariyah-(Alexandria),0.008388672639280781
4000,Al-Qahirah-(Cairo),Ankara,0.2915350061101538
4000,Al-Qahirah-(Cairo),Irbil-(Erbil),0.3457823088192038
4000,Al-Qahirah-(Cairo),Haerbin,0.9539649030570552
4000,Al-Qahirah-(Cairo),Lagos,1.3285634397162658
4000,Al-Qahirah-(Cairo),Tomsk,1.1672260456594874
4000,Al-Qahirah-(Cairo),Tehran,0.7056563644980376
4000,Al-Qahirah-(Cairo),Sendai,0.12526164103203358
4000,Ankara,Abuja,0.9902738461512182
4000,Ankara,Al-Iskandariyah-(Alexandria),0.9449320266727282
4000,Ankara,Al-Qahirah-(Cairo),0.10420510788701845
4000,Ankara,Irbil-(Erbil),0.7345019828161471
4000,Ankara,Haerbin,1.03061676634172
4000,Ankara,Lagos,0.3224775551583696
4000,Ankara,Tomsk,0.049741808067388295
4000,Ankara,Tehran,0.40203389866414857
4000,Ankara,Sendai,1.0957899915231937
4000,Irbil-(Erbil),Abuja,1.1712783728686111
4000,Irbil-(Erbil),Al-Iskandariyah-(Alexandria),0.15723849067823018
4000,Irbil-(Erbil),Al-Qahirah-(Cairo),0.1923890056007389
4000,Irbil-(Erbil),Ankara,1.3183994201416906
4000,Irbil-(Erbil),Haerbin,0.13542500970221472
4000,Irbil-(Erbil),Lagos,0.25461795792783626
4000,Irbil-(Erbil),Tomsk,0.9143351972261954
4000,Irbil-(Erbil),Tehran,0.8986653709959797
4000,Irbil-(Erbil),Sendai,0.9360929786436746
4000,Haerbin,Abuja,0.36220323403361415
4000,Haerbin,Al-Iskandariyah-(Alexandria),0.5338825016790294
4000,Haerbin,Al-Qahirah-(Cairo),0.40802526188864174
4000,Haerbin,Ankara,0.44807564734163163
4000,Haerbin,Irbil-(Erbil),0.301347203945983
4000,Haerbin,Lagos,0.15042698106591615
4000,Haerbin,Tomsk,0.2314558804536258
4000,Haerbin,Tehran,0.11986351295332712
4000,Haerbin,Sendai,1.2143209889053295
4000,Lagos,Abuja,0.5236912770164286
